法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣彰化地方法院,101法登他75,434,變更登記,社團法人世界紅卍字會彰化縣分會,101/09/19,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKVAAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000075&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGKVAAA
臺灣彰化地方法院,101法登他76,208,變更登記,財團法人元勉工商發展基金會,101/09/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLbAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000076&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGLbAAD
臺灣彰化地方法院,101法登他77,445,變更登記,社團法人台灣省國際獅子會第七聯合會,101/10/22,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLOAAF&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000077&ef=CHD&fg=1,output/details/CHD/AAF/AAAdkxAAHAAAGLOAAF
臺灣彰化地方法院,101法登他78,45,變更登記,財團法人彰化縣私立廣成社會福利慈善事業基金會,101/09/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKyAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000078&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGKyAAE
臺灣彰化地方法院,101法登他79,24,變更登記,財團法人彰化縣後備軍人（子女）?冗髐撅訄簹鷛|,101/09/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLuAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000079&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGLuAAH
臺灣彰化地方法院,101法登他80,318,變更登記,社團法人中華民國手藝藝術發展協會,101/09/28,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLbAAB&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000080&ef=CHD&fg=1,output/details/CHD/AAB/AAAdkxAAHAAAGLbAAB
臺灣彰化地方法院,101法登他81,222,變更登記,財團法人源埤文教基金會,102/02/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGhSAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000081&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGhSAAH
臺灣彰化地方法院,101法登他82,71,變更登記,財團法人金豊佛苑文教基金會,101/09/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLbAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000082&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGLbAAE
臺灣彰化地方法院,101法登他83,242,變更登記,財團法人台灣兒童暨家庭扶助基金會,101/10/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGL3AAI&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000083&ef=CHD&fg=1,output/details/CHD/AAI/AAAdkxAAHAAAGL3AAI
臺灣彰化地方法院,101法登他84,164,變更登記,財團法人彰化縣洪掛昆仲文教基金會,101/10/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLVAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000084&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGLVAAH
臺灣彰化地方法院,101法登他85,174,變更登記,財團法人國立二林高級工商職業學校文教基金會,102/01/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGgfAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000085&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGgfAAC
臺灣彰化地方法院,101法登他86,16,變更登記,財團法人彰化縣私立鹿港民俗文物館,101/10/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLtAAK&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000086&ef=CHD&fg=1,output/details/CHD/AAK/AAAdkxAAHAAAGLtAAK
臺灣彰化地方法院,101法登他87,51,清算終結,財團法人彰化生活美學基金會,101/10/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMIAAK&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000087&ef=CHD&fg=1,output/details/CHD/AAK/AAAdkxAAHAAAGMIAAK
臺灣彰化地方法院,101法登他88,41,變更登記,財團法人鹿港文教基金會,101/11/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGM5AAI&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000088&ef=CHD&fg=1,output/details/CHD/AAI/AAAdkxAAHAAAGM5AAI
臺灣彰化地方法院,101法登他89,296,變更登記,社團法人彰化縣愛加倍社區服務協會,101/11/05,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMqAAB&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000089&ef=CHD&fg=1,output/details/CHD/AAB/AAAdkxAAHAAAGMqAAB
臺灣彰化地方法院,101法登他90,44,變更登記,財團法人彰化縣平安學術文教基金會,102/01/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGgfAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000090&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGgfAAD
臺灣彰化地方法院,101法登他91,332,變更登記,財團法人彰化縣私立慈恩社會福利慈善事業基金會,101/11/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMqAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000091&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGMqAAC
臺灣彰化地方法院,101法登他92,195,變更登記,財團法人陳秀卿文教基金會,101/10/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLiAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000092&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGLiAAE
臺灣彰化地方法院,101法登他93,5,變更登記,財團法人彰化縣武聖宮,101/10/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMBAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000093&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGMBAAD
臺灣彰化地方法院,101法登他94,39,變更登記,財團法人彰化縣私立賴樹旺社會福利慈善事業基金會,101/10/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMrAAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000094&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGMrAAA
臺灣彰化地方法院,101法登他95,134,變更登記,財團法人彰化基督教醫院,101/10/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGL2AAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000095&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGL2AAA
臺灣彰化地方法院,101法登他96,419,變更登記,社團法人中華職業災害防止協會,101/11/01,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMtAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000096&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGMtAAD
臺灣彰化地方法院,101法登他97,11,變更登記,財團法人彰化縣私立大慶高級商工職業學校,101/11/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGM0AAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000097&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGM0AAH
臺灣彰化地方法院,101法登他98,385,變更登記,財團法人車輛安全審驗中心,101/11/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGMqAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000098&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGMqAAD
