法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣嘉義地方法院,091法登他12,27,變更登記,財團法人台灣省嘉義市私立仁義高級中學,091/03/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3fAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000012&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAL3fAAA.json
臺灣嘉義地方法院,091法登他13,74,變更登記,財團法人嘉義市私立興華高級中學,091/03/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3fAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000013&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAL3fAAB.json
臺灣嘉義地方法院,091法登他14,199,變更登記,社團法人嘉義市聲暉協進會,091/03/25,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3kAAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000014&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAL3kAAD.json
臺灣嘉義地方法院,091法登他15,74,變更登記,財團法人嘉義市私立興華高級中學,091/03/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3kAAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000015&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAL3kAAE.json
臺灣嘉義地方法院,091法登他17,139,變更登記,財團法人沐恩文教基金會,091/04/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3kAAF&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000017&ef=CYD&fg=1,output/details/CYD/AAF/AAAdkxAAHAAAL3kAAF.json
臺灣嘉義地方法院,091法登他18,109,變更登記,財團法人嘉義縣文化基金會,091/04/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3lAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000018&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAL3lAAA.json
臺灣嘉義地方法院,091法登他19,132,變更登記,社團法人嘉義縣退伍軍人協會,091/04/29,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3lAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000019&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAL3lAAB.json
臺灣嘉義地方法院,091法登他20,209,變更登記,財團法人嘉義頂六國小教育基金會,091/05/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYsAAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000020&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMYsAAE.json
臺灣嘉義地方法院,091法登他22,245,變更登記,財團法人樊賜生文化藝術基金會,091/05/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYsAAF&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000022&ef=CYD&fg=1,output/details/CYD/AAF/AAAdkxAAHAAAMYsAAF.json
臺灣嘉義地方法院,091法登他23,226,變更登記,財團法人義竹國中教育事務基金會,091/05/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYsAAG&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000023&ef=CYD&fg=1,output/details/CYD/AAG/AAAdkxAAHAAAMYsAAG.json
臺灣嘉義地方法院,091法登他24,167,變更登記,社團法人嘉義市仁愛慈善會,091/05/20,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYqAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000024&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMYqAAA.json
臺灣嘉義地方法院,091法登他25,35,變更登記,財團法人天主教聖言會,091/05/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZwAAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000025&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMZwAAC.json
臺灣嘉義地方法院,091法登他26,246,變更登記,財團法人嘉義市南順宮,091/05/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZ1AAF&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000026&ef=CYD&fg=1,output/details/CYD/AAF/AAAdkxAAHAAAMZ1AAF.json
臺灣嘉義地方法院,091法登他27,66,變更登記,財團法人台灣省嘉義縣私立知德高級工商職業學校,091/06/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZ1AAG&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000027&ef=CYD&fg=1,output/details/CYD/AAG/AAAdkxAAHAAAMZ1AAG.json
臺灣嘉義地方法院,091法登他28,195,變更登記,財團法人太保祥和文化藝術基金會,091/06/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZ5AAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000028&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMZ5AAA.json
