法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,
臺灣臺南地方法院,051法登31,31,設立登記,財團法人台南市私立建業初級中學董事會,051/12/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa9AAD&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000031&ef=TND&fg=1,
臺灣臺南地方法院,051法登32,32,設立登記,財團法人私立港明初級中學董事會,051/12/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa9AAE&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000032&ef=TND&fg=1,
臺灣臺南地方法院,052法登33,33,設立登記,財團法人私立崑山初級中學,052/01/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa9AAF&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000033&ef=TND&fg=1,
臺灣臺南地方法院,052法登34,34,設立登記,財團法人台灣省台南市基督教傳道會總會,052/03/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa1AAH&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000034&ef=TND&fg=1,
臺灣臺南地方法院,052法登35,35,設立登記,財團法人天主教會台南教區,052/03/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMahAAA&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000035&ef=TND&fg=1,
臺灣臺南地方法院,052法登36,36,設立登記,財團法人台南市私立中正補習學校董事會,052/07/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMahAAB&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000036&ef=TND&fg=1,
臺灣臺南地方法院,052法登37,37,設立登記,財團法人台南縣私立玉山初級中學董事會,052/07/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMahAAC&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000037&ef=TND&fg=1,
臺灣臺南地方法院,052法登38,38,設立登記,財團法人台南市安樂聖教會,052/12/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMahAAD&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000038&ef=TND&fg=1,
臺灣臺南地方法院,052法登39,39,設立登記,財團法人台灣省台南市廣安宮,052/03/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMakAAE&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000039&ef=TND&fg=1,
臺灣臺南地方法院,053法登40,40,設立登記,財團法人台灣省台南市私立德光女子初級中學董事會,053/06/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMalAAA&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000040&ef=TND&fg=1,
